audio_id,dataset,category,engine,called_at,source,elapsed_seconds,call_status,endpoint,model,timestamps,diarization,error
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,clova,2026-08-28T17:12:26+09:00,raw-cache,2.594,OK,"CLOVA Speech (long sentence) recognizer/upload, host=clovaspeech-gw.ncloud.com",clova-speech-recognizer-upload,word (wordAlignment),requested (segments[].speaker),
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,azure,2026-08-28T17:12:29+09:00,raw-cache,4.136,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,whisper,2026-08-28T17:12:33+09:00,raw-cache,3.509,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,google,2026-08-28T17:12:37+09:00,raw-cache,12.149,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,assemblyai,2026-08-28T17:12:49+09:00,raw-cache,9.74,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,clova,2026-08-28T17:13:23+09:00,raw-cache,2.489,OK,"CLOVA Speech (long sentence) recognizer/upload, host=clovaspeech-gw.ncloud.com",clova-speech-recognizer-upload,word (wordAlignment),requested (segments[].speaker),
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,azure,2026-08-28T17:13:26+09:00,raw-cache,4.391,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,whisper,2026-08-28T17:13:30+09:00,raw-cache,2.94,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,google,2026-08-28T17:13:33+09:00,raw-cache,4.954,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,assemblyai,2026-08-28T17:13:38+09:00,raw-cache,6.764,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,clova,2026-08-28T17:13:45+09:00,raw-cache,2.547,OK,"CLOVA Speech (long sentence) recognizer/upload, host=clovaspeech-gw.ncloud.com",clova-speech-recognizer-upload,word (wordAlignment),requested (segments[].speaker),
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,azure,2026-08-28T17:13:47+09:00,raw-cache,3.987,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,whisper,2026-08-28T17:13:51+09:00,raw-cache,2.182,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,google,2026-08-28T17:13:53+09:00,raw-cache,6.045,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,assemblyai,2026-08-28T17:13:59+09:00,raw-cache,6.529,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,clova,2026-08-28T17:14:06+09:00,raw-cache,2.966,OK,"CLOVA Speech (long sentence) recognizer/upload, host=clovaspeech-gw.ncloud.com",clova-speech-recognizer-upload,word (wordAlignment),requested (segments[].speaker),
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,azure,2026-08-28T17:14:09+09:00,raw-cache,10.322,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,whisper,2026-08-28T17:14:19+09:00,raw-cache,3.552,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,google,2026-08-28T17:14:23+09:00,raw-cache,11.235,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,assemblyai,2026-08-28T17:14:34+09:00,raw-cache,10.304,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,clova,2026-08-28T17:14:44+09:00,raw-cache,2.837,OK,"CLOVA Speech (long sentence) recognizer/upload, host=clovaspeech-gw.ncloud.com",clova-speech-recognizer-upload,word (wordAlignment),requested (segments[].speaker),
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,azure,2026-08-28T17:14:47+09:00,raw-cache,3.162,OK,https://koreacentral.stt.speech.microsoft.com/speech/recognition/conversation/cognitiveservices/v1,"azure-speech-conversation-v1 (short audio REST, <=60s)",utterance Offset/Duration only (100ns ticks),unsupported by endpoint,
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,whisper,2026-08-28T17:14:50+09:00,raw-cache,5.111,OK,https://api.openai.com/v1/audio/transcriptions,whisper-1,segment + word (verbose_json),unsupported by endpoint,
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,google,2026-08-28T17:14:55+09:00,raw-cache,5.056,OK,https://speech.googleapis.com/v2/projects/<project>/locations/global/recognizers/_:recognize,"speech-v2 latest_long (location=global, recognizer=_)",word (enableWordTimeOffsets),unsupported for latest_long/ko-KR (400) — retried without diarizationConfig,
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,assemblyai,2026-08-28T17:15:00+09:00,raw-cache,7.228,OK,https://api.assemblyai.com/v2/transcript,assemblyai-v2 speech_model=None acoustic_model=assemblyai_default language_model=assemblyai_default,word (words[].start/end ms),"requested (utterances[].speaker, words[].speaker)",
