audio_id,dataset,category,engine,status,cer,substitution,deletion,insertion,reference_chars
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,clova,OK,34.38,0,33,0,96
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,azure,OK,8.33,0,8,0,96
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,whisper,OK,15.62,2,13,0,96
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,google,OK,13.54,0,13,0,96
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,assemblyai,OK,15.62,2,13,0,96
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,clova,OK,0.0,0,0,0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,azure,OK,20.0,10,0,0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,google,OK,18.0,9,0,0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,50
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,clova,OK,0.0,0,0,0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,azure,OK,0.0,0,0,0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,whisper,OK,0.0,0,0,0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,google,OK,0.0,0,0,0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,assemblyai,OK,0.0,0,0,0,58
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,clova,OK,6.16,8,0,1,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,azure,OK,6.16,8,1,0,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,whisper,OK,4.11,6,0,0,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,google,OK,3.42,5,0,0,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,assemblyai,OK,4.11,6,0,0,146
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,clova,OK,3.03,2,0,0,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,azure,OK,13.64,7,0,2,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,whisper,OK,1.52,1,0,0,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,google,OK,10.61,6,1,0,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,assemblyai,OK,1.52,1,0,0,66
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,VoiceActor,voice_actor,clova,OK,14.29,3,9,0,84
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,VoiceActor,voice_actor,azure,OK,15.48,4,9,0,84
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,VoiceActor,voice_actor,whisper,OK,16.67,3,11,0,84
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,VoiceActor,voice_actor,google,OK,16.67,2,12,0,84
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,VoiceActor,voice_actor,assemblyai,OK,16.67,3,11,0,84
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,VoiceActor,voice_actor,clova,OK,8.54,2,5,0,82
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,VoiceActor,voice_actor,azure,OK,14.63,7,5,0,82
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,VoiceActor,voice_actor,whisper,OK,17.07,8,6,0,82
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,VoiceActor,voice_actor,google,OK,13.41,4,7,0,82
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,VoiceActor,voice_actor,assemblyai,OK,14.63,6,6,0,82
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,VoiceActor,voice_actor,clova,OK,5.11,11,1,0,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,VoiceActor,voice_actor,azure,OK,8.09,18,0,1,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,VoiceActor,voice_actor,whisper,OK,5.96,13,1,0,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,VoiceActor,voice_actor,google,OK,36.17,10,75,0,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,VoiceActor,voice_actor,assemblyai,OK,4.68,11,0,0,235
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,VoiceActor,voice_actor,clova,OK,21.74,12,1,2,69
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,VoiceActor,voice_actor,azure,OK,18.84,4,0,9,69
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,VoiceActor,voice_actor,whisper,OK,4.35,3,0,0,69
