audio_id,engine,cer_corrected_pct,reference_chars_corrected
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,clova,24.096,83
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,azure,15.663,83
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,whisper,2.41,83
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,google,0.0,83
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,assemblyai,2.41,83
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,clova,0.0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,azure,20.0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,whisper,0.0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,google,18.0,50
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,assemblyai,0.0,50
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,clova,0.0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,azure,0.0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,whisper,0.0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,google,0.0,58
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,assemblyai,0.0,58
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,clova,6.164,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,azure,6.164,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,whisper,4.11,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,google,3.425,146
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,assemblyai,4.11,146
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,clova,3.03,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,azure,13.636,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,whisper,1.515,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,google,10.606,66
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,assemblyai,1.515,66
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,clova,16.216,74
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,azure,14.865,74
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,whisper,5.405,74
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,google,10.811,74
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,assemblyai,5.405,74
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,clova,2.597,77
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,azure,18.182,77
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,whisper,11.688,77
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,google,7.792,77
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,assemblyai,9.091,77
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,clova,5.106,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,azure,8.085,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,whisper,5.957,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,google,36.17,235
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,assemblyai,4.681,235
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,clova,21.739,69
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,azure,18.841,69
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,whisper,4.348,69
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,google,7.246,69
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,assemblyai,0.0,69
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,clova,0.0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,azure,0.0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,whisper,0.0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,google,0.0,86
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,assemblyai,0.0,86
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,clova,9.0,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,azure,15.0,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,whisper,0.0,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,google,2.0,100
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,assemblyai,0.0,100
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,clova,11.194,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,azure,7.463,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,whisper,1.493,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,google,5.224,134
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,assemblyai,2.985,134
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,clova,42.188,64
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,azure,40.625,64
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,whisper,17.188,64
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,google,34.375,64
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,assemblyai,21.875,64
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,clova,0.0,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,azure,0.0,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,whisper,2.273,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,google,0.0,44
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,assemblyai,4.545,44
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,clova,3.261,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,azure,9.783,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,whisper,0.0,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,google,1.087,92
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,assemblyai,0.0,92
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,clova,0.0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,azure,0.0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,whisper,0.0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,google,0.0,96
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,assemblyai,0.0,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,clova,4.167,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,azure,4.167,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,whisper,0.0,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,google,1.042,96
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,assemblyai,0.0,96
18_upfiles3_73681277f08f4465bc5894864520c83b0,clova,28.302,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,azure,0.0,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,whisper,0.0,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,google,28.302,53
18_upfiles3_73681277f08f4465bc5894864520c83b0,assemblyai,0.0,53
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,clova,2.174,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,azure,5.797,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,whisper,0.0,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,google,2.899,138
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,assemblyai,0.0,138
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,clova,0.0,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,azure,0.0,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,whisper,0.0,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,google,2.128,47
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,assemblyai,0.0,47
