audio_id,dataset,category,audio_file,clova_cer,azure_cer,whisper_cer,google_cer,assemblyai_cer
01_upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,evaluation\voice_actor_16k\01_upfiles4_5663764b56238b2ac39ab5c564562cd00.wav,34.38,8.33,15.62,13.54,15.62
02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,evaluation\voice_actor_16k\02_upfiles3_8a8599a5f6e9b8cd5c746033856424e90.wav,0.0,20.0,0.0,18.0,0.0
03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,evaluation\voice_actor_16k\03_upfiles2_c643c7a7d22bd3d8132a83651c36eb980.wav,0.0,0.0,0.0,0.0,0.0
04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,evaluation\voice_actor_16k\04_upfiles2_9e8ea1b7761705116b116e32350b5f4e0.wav,6.16,6.16,4.11,3.42,4.11
05_upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,evaluation\voice_actor_16k\05_upfiles1_76082950d4f9aaa1d597d55d805807d40.wav,3.03,13.64,1.52,10.61,1.52
06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0,VoiceActor,voice_actor,evaluation\voice_actor_16k\06_upfiles3_74d4c9e978f11a1314b7442f433cb07c0.wav,14.29,15.48,16.67,16.67,16.67
07_upfiles4_104fda04b7a38e840f5280e26d4b1a190,VoiceActor,voice_actor,evaluation\voice_actor_16k\07_upfiles4_104fda04b7a38e840f5280e26d4b1a190.wav,8.54,14.63,17.07,13.41,14.63
08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,VoiceActor,voice_actor,evaluation\voice_actor_16k\08_upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0.wav,5.11,8.09,5.96,36.17,4.68
09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,VoiceActor,voice_actor,evaluation\voice_actor_16k\09_upfiles2_0973cc131552dbe59a689e8eaaaaf1c80.wav,21.74,18.84,4.35,7.25,0.0
10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,VoiceActor,voice_actor,evaluation\voice_actor_16k\10_upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20.wav,0.0,0.0,0.0,0.0,0.0
11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,VoiceActor,voice_actor,evaluation\voice_actor_16k\11_upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0.wav,9.0,15.0,0.0,2.0,0.0
12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0,VoiceActor,voice_actor,evaluation\voice_actor_16k\12_upfiles2_e72a14a47b60d663f5806141a8dcf36d0.wav,11.19,7.46,1.49,5.22,2.99
13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,VoiceActor,voice_actor,evaluation\voice_actor_16k\13_upfiles2_d367eef014c39b7fc8f52f76448e6f4a0.wav,34.62,42.31,32.05,39.74,35.9
14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,VoiceActor,voice_actor,evaluation\voice_actor_16k\14_upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80.wav,0.0,0.0,2.27,0.0,4.55
15_upfiles2_311fd898dd6b6673932f9e9c4addd6180,VoiceActor,voice_actor,evaluation\voice_actor_16k\15_upfiles2_311fd898dd6b6673932f9e9c4addd6180.wav,3.26,9.78,0.0,1.09,0.0
16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,VoiceActor,voice_actor,evaluation\voice_actor_16k\16_upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0.wav,0.0,0.0,0.0,0.0,0.0
17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0,VoiceActor,voice_actor,evaluation\voice_actor_16k\17_upfiles2_937fcd9107397bfb87fb729cacb95c0c0.wav,4.17,4.17,0.0,1.04,0.0
18_upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,evaluation\voice_actor_16k\18_upfiles3_73681277f08f4465bc5894864520c83b0.wav,28.3,0.0,0.0,28.3,0.0
19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,evaluation\voice_actor_16k\19_upfiles3_5c79dda76679b8b02f7831fd054c9c9a0.wav,2.17,5.8,0.0,2.9,0.0
20_upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,evaluation\voice_actor_16k\20_upfiles4_4f7335506aa911e4dce2c0dee397b9930.wav,0.0,0.0,0.0,2.13,0.0
AVERAGE,,,,9.3,9.48,5.06,10.07,5.03
